3301,3302,3303,3304,3305,3306,3307,3308,3309,3310,3311,3312,3313,3314,3315,3316,3317,3318,3319,3320,3321,3322,3323,3324,3325,3326,3327,3328,3329,3371,3372,3373,3374,3375,3376
0,1378,699,1006,1869,648,48,86,188,242,819,37,0,0,0,65,139,52,67,384,0,298,66,121,18,993,361,230,716,21,344,235,789,0,234
1378,0,3712,473,177,378,659,0,475,328,347,212,61,43,137,0,0,265,57,0,0,169,250,442,116,236,266,2795,89,8,23,108,76,0,410
699,3712,0,492,558,407,263,56,0,89,0,0,0,427,0,0,0,0,0,0,321,535,28,524,0,62,360,326,22,240,248,28,122,0,25
1006,473,492,0,588,5,885,188,0,278,271,344,360,403,569,0,522,0,0,57,0,251,346,0,24,250,293,373,37,0,321,0,657,0,0
1869,177,558,588,0,114,202,415,40,348,342,0,420,302,237,0,0,0,58,0,0,1992,224,161,94,9,144,27,148,293,634,15,1746,57,0
648,378,407,5,114,0,578,1027,0,151,0,25,0,285,442,0,0,0,26,441,0,313,258,33,0,0,163,0,45,137,200,51,1496,0,0
48,659,263,885,202,578,0,603,232,272,0,0,0,0,354,0,0,0,35,230,7,1,269,219,41,95,231,287,141,371,17,208,1427,0,0
86,0,56,188,415,1027,603,0,229,138,284,0,0,60,51,453,0,209,35,182,860,329,2305,479,104,585,0,0,195,1131,57,624,44,0,0
188,475,0,0,40,0,232,229,0,1108,1425,54,1235,231,23,209,378,0,195,422,544,3654,404,17,154,89,303,64,0,0,5070,73,275,546,0
242,328,89,278,348,151,272,138,1108,0,2573,211,395,488,50,103,204,0,0,358,47,184,181,13,21,0,0,0,148,197,68,10,1657,0,0
819,347,0,271,342,0,0,284,1425,2573,0,3024,1479,1626,706,62,0,330,0,0,0,151,828,41,0,286,150,157,280,90,5501,1,67,80,139
37,212,0,344,0,25,0,0,54,211,3024,0,23,310,182,213,0,0,0,144,864,72,0,58,0,0,18,274,149,0,728,458,516,0,0
0,61,0,360,420,0,0,0,1235,395,1479,23,0,1547,50,165,0,0,0,110,0,0,0,0,0,213,37,0,126,188,4057,103,0,0,0
0,43,427,403,302,285,0,60,231,488,1626,310,1547,0,916,311,0,182,88,88,406,471,88,250,87,190,0,61,64,0,10,882,1058,0,195
0,137,0,569,237,442,354,51,23,50,706,182,50,916,0,752,756,1230,954,227,841,2097,86,506,226,37,216,0,0,0,834,963,4190,0,28
65,0,0,0,0,0,0,453,209,103,62,213,165,311,752,0,902,788,589,0,194,1765,0,31,0,0,0,31,0,0,185,242,1816,0,0
139,0,0,522,0,0,0,0,378,204,0,0,0,0,756,902,0,747,391,28,334,29,108,73,13,110,0,0,0,0,0,59,41,9,0
52,265,0,0,0,0,0,209,0,0,330,0,0,182,1230,788,747,0,344,114,387,423,271,16,60,0,0,0,0,82,428,158,2209,0,0
67,57,0,0,58,26,35,35,195,0,0,0,0,88,954,589,391,344,0,232,849,134,34,221,0,0,46,0,246,10,0,225,1617,31,250
384,0,0,57,0,441,230,182,422,358,0,144,110,88,227,0,28,114,232,0,2345,1253,74,157,169,0,31,0,324,0,132,400,1705,0,516
0,0,321,0,0,0,7,860,544,47,0,864,0,406,841,194,334,387,849,2345,0,1150,693,17,174,158,0,274,0,0,0,36,3458,0,0
298,169,535,251,1992,313,1,329,3654,184,151,72,0,471,2097,1765,29,423,134,1253,1150,0,100,1061,30,390,19,0,191,100,216,733,960,0,171
66,250,28,346,224,258,269,2305,404,181,828,0,0,88,86,0,108,271,34,74,693,100,0,200,71,0,165,0,0,51,104,403,682,3,0
121,442,524,0,161,33,219,479,17,13,41,58,0,250,506,31,73,16,221,157,17,1061,200,0,1629,0,0,0,32,33,524,413,3857,148,0
18,116,0,24,94,0,41,104,154,21,0,0,0,87,226,0,13,60,0,169,174,30,71,1629,0,1398,423,21,0,0,155,0,2128,388,269
993,236,62,250,9,0,95,585,89,0,286,0,213,190,37,0,110,0,0,0,158,390,0,0,1398,0,581,333,0,0,222,135,661,866,242
361,266,360,293,144,163,231,0,303,0,150,18,37,0,216,0,0,0,46,31,0,19,165,0,423,581,0,845,756,243,62,275,1176,369,299
230,2795,326,373,27,0,287,0,64,0,157,274,0,61,0,31,0,0,0,0,274,0,0,0,21,333,845,0,1284,363,0,294,981,48,550
716,89,22,37,148,45,141,195,0,148,280,149,126,64,0,0,0,0,246,324,0,191,0,32,0,0,756,1284,0,0,0,99,1464,486,980
21,8,240,0,293,137,371,1131,0,197,90,0,188,0,0,0,0,82,10,0,0,100,51,33,0,0,243,363,0,0,364,0,515,0,49
344,23,248,321,634,200,17,57,5070,68,5501,728,4057,10,834,185,0,428,0,132,0,216,104,524,155,222,62,0,0,364,0,192,1204,14,0
235,108,28,0,15,51,208,624,73,10,1,458,103,882,963,242,59,158,225,400,36,733,403,413,0,135,275,294,99,0,192,0,3012,109,4
789,76,122,657,1746,1496,1427,44,275,1657,67,516,0,1058,4190,1816,41,2209,1617,1705,3458,960,682,3857,2128,661,1176,981,1464,515,1204,3012,0,584,66
0,0,0,0,57,0,0,0,546,0,80,0,0,0,0,0,9,0,31,0,0,0,3,148,388,866,369,48,486,0,14,109,584,0,14
234,410,25,0,0,0,0,0,0,0,139,0,0,195,28,0,0,0,250,516,0,171,0,0,269,242,299,550,980,49,0,4,66,14,0
