Kabupaten Cilacap,Kabupaten Banyumas,Kabupaten Purbalingga,Kabupaten Banjarnegara,Kabupaten Kebumen,Kabupaten Purworejo,Kabupaten Wonosobo,Kabupaten Magelang,Kabupaten Boyolali,Kabupaten Klaten,Kabupaten Sukoharjo,Kabupaten Wonogiri,Kabupaten Karanganyar,Kabupaten Sragen,Kabupaten Grobogan,Kabupaten Blora,Kabupaten Rembang,Kabupaten Pati,Kabupaten Kudus,Kabupaten Jepara,Kabupaten Demak,Kabupaten Semarang,Kabupaten Temanggung,Kabupaten Kendal,Kabupaten Batang,Kabupaten Pekalongan,Kabupaten Pemalang,Kabupaten Tegal,Kabupaten Brebes,Kota Magelang,Kota Surakarta,Kota Salatiga,Kota Semarang,Kota Pekalongan,Kota Tegal
0.55,6.67,1.16,4,0.9,1.2,3.45,0.49,1.25,8.33,0.45,0.48,0.77,12.5,0.69,0.62,0.78,1.56,1.1,2.7,0,0.37,0.67,2.17,0.74,12.5,0.89,0.35,0.28,0.45,0,1.96,0.47,1.72,0.27
0.22,0.35,0.28,0.34,0.26,0.54,0.42,1.52,0.53,0.39,2.04,1.67,0.72,0.36,0.81,0.93,0.71,0.49,0.56,0.33,0.37,0,0.84,0.32,0.25,0.38,0.26,0.18,0.16,0.2,0.37,0.46,0.21,0.31,0.16
0.3,0.61,0.42,0.57,0.38,1.49,0.83,1.89,1.43,0.72,1.43,1.69,5,0.63,20,8.33,4.55,1.16,1.69,0.53,0.67,0.84,0,0.51,0.35,0.7,0.38,0.23,0.2,0.27,0.67,1.01,0.27,0.48,0.19
0.73,3.23,2.5,4.76,1.54,0.78,1.33,0.4,0.79,1.72,0.38,0.39,0.57,2.63,0.52,0.48,0.57,0.91,0.73,11.11,2.17,0.32,0.51,0,1.12,1.85,1.52,0.42,0.32,0.57,2.17,1.03,0.6,8.33,0.31
2.08,0.83,2.04,0.91,4.17,0.46,0.61,0.3,0.47,0.68,0.28,0.29,0.38,0.79,0.36,0.34,0.38,0.5,0.44,1.02,0.74,0.25,0.35,1.12,0,0.7,4.35,0.66,0.45,1.16,0.74,0.54,1.27,1.3,0.42
0.52,4.35,1.06,3.03,0.84,1.33,4.76,0.51,1.39,25,0.47,0.5,0.82,6.25,0.73,0.65,0.83,1.79,1.2,2.22,12.5,0.38,0.7,1.85,0.7,0,0.83,0.34,0.27,0.44,12.5,2.33,0.45,1.52,0.26
1.41,1.03,3.85,1.15,100,0.51,0.71,0.32,0.52,0.81,0.3,0.31,0.41,0.96,0.39,0.37,0.42,0.57,0.49,1.33,0.89,0.26,0.38,1.52,4.35,0.83,0,0.57,0.41,0.92,0.89,0.61,0.98,1.85,0.38
0.97,0.37,0.5,0.38,0.57,0.27,0.32,0.2,0.27,0.34,0.2,0.2,0.24,0.36,0.23,0.22,0.24,0.29,0.27,0.4,0.35,0.18,0.23,0.42,0.66,0.34,0.57,0,1.41,1.54,0.35,0.3,1.39,0.44,1.16
0.57,0.29,0.37,0.3,0.41,0.23,0.26,0.18,0.23,0.27,0.17,0.18,0.21,0.29,0.2,0.19,0.21,0.24,0.22,0.31,0.28,0.16,0.2,0.32,0.45,0.27,0.41,1.41,0,0.74,0.28,0.25,0.7,0.33,6.67
2.63,0.49,0.74,0.51,0.91,0.33,0.4,0.24,0.33,0.43,0.23,0.23,0.28,0.47,0.27,0.26,0.29,0.35,0.32,0.54,0.45,0.2,0.27,0.57,1.16,0.44,0.92,1.54,0.74,0,0.45,0.37,14.29,0.61,0.66
0.55,6.67,1.16,4,0.9,1.2,3.45,0.49,1.25,8.33,0.45,0.48,0.77,12.5,0.69,0.62,0.78,1.56,1.1,2.7,0,0.37,0.67,2.17,0.74,12.5,0.89,0.35,0.28,0.45,0,1.96,0.47,1.72,0.27
0.43,1.52,0.73,1.32,0.62,3.13,4.55,0.66,3.45,2.56,0.59,0.63,1.27,1.69,1.06,0.9,1.3,7.69,2.5,1.14,1.96,0.46,1.01,1.03,0.54,2.33,0.61,0.3,0.25,0.37,1.96,0,0.38,0.92,0.24
3.23,0.5,0.78,0.53,0.97,0.34,0.41,0.24,0.34,0.44,0.23,0.24,0.29,0.49,0.28,0.27,0.29,0.36,0.33,0.57,0.47,0.21,0.27,0.6,1.27,0.45,0.98,1.39,0.7,14.29,0.47,0.38,0,0.64,0.63
0.8,2.33,3.57,3.03,1.89,0.71,1.15,0.38,0.72,1.43,0.36,0.37,0.53,2,0.49,0.45,0.54,0.82,0.67,4.76,1.72,0.31,0.48,8.33,1.3,1.52,1.85,0.44,0.33,0.61,1.72,0.92,0.64,0,0.32
0.53,0.28,0.35,0.29,0.38,0.22,0.25,0.17,0.22,0.26,0.17,0.17,0.2,0.27,0.19,0.19,0.2,0.23,0.22,0.3,0.27,0.16,0.19,0.31,0.42,0.26,0.38,1.16,6.67,0.66,0.27,0.24,0.63,0.32,0
