Kabupaten Cilacap,Kabupaten Banyumas,Kabupaten Purbalingga,Kabupaten Banjarnegara,Kabupaten Kebumen,Kabupaten Purworejo,Kabupaten Wonosobo,Kabupaten Magelang,Kabupaten Boyolali,Kabupaten Klaten,Kabupaten Sukoharjo,Kabupaten Wonogiri,Kabupaten Karanganyar,Kabupaten Sragen,Kabupaten Grobogan,Kabupaten Blora,Kabupaten Rembang,Kabupaten Pati,Kabupaten Kudus,Kabupaten Jepara,Kabupaten Demak,Kabupaten Semarang,Kabupaten Temanggung,Kabupaten Kendal,Kabupaten Batang,Kabupaten Pekalongan,Kabupaten Pemalang,Kabupaten Tegal,Kabupaten Brebes,Kota Magelang,Kota Surakarta,Kota Salatiga,Kota Semarang,Kota Pekalongan,Kota Tegal
1.27E-08,4.88E-08,2.73E-07,1.52E-07,9.66E-07,1.12E-07,1.13E-07,3.25E-07,3.56E-07,1.10E-07,1.53E-07,0,1.55E-07,1.37E-07,6.09E-07,3.09E-07,1.14E-07,8.56E-08,1.39E-08,1.47E-06,4.03E-07,5.71E-08,1.59E-07,8.76E-08,1.55E-07,1.85E-07,3.08E-07,1.93E-07,6.73E-08,5.71E-08,6.27E-08,7.29E-08,7.40E-09,6.32E-08,8.26E-08
1.38E-08,7.13E-08,9.89E-08,7.69E-08,1.34E-07,6.49E-08,6.54E-08,2.97E-07,2.75E-07,3.81E-07,1.45E-05,1.55E-07,0,1.16E-06,1.24E-07,1.03E-07,6.57E-08,1.91E-07,1.52E-08,1.73E-07,1.12E-07,9.03E-08,7.85E-08,2.01E-07,7.76E-08,8.44E-08,1.03E-07,7.85E-07,1.19E-07,4.18E-08,1.05E-07,4.96E-08,7.77E-09,4.49E-08,5.39E-08
1.40E-08,7.59E-08,9.11E-08,7.21E-08,1.20E-07,6.15E-08,6.19E-08,2.37E-07,2.22E-07,5.67E-07,1.27E-06,1.37E-07,1.16E-06,0,1.12E-07,9.48E-08,6.22E-08,2.28E-07,1.54E-08,1.51E-07,1.02E-07,9.79E-08,7.35E-08,2.43E-07,7.27E-08,7.87E-08,9.48E-08,4.69E-07,1.32E-07,4.03E-08,1.16E-07,4.76E-08,7.82E-09,4.32E-08,5.15E-08
1.24E-08,4.52E-08,4.94E-07,2.03E-07,1.65E-06,1.37E-07,1.39E-07,2.12E-07,2.25E-07,9.34E-08,1.23E-07,6.09E-07,1.24E-07,1.12E-07,0,6.26E-07,1.40E-07,7.50E-08,1.36E-08,4.31E-07,1.19E-06,5.22E-08,2.15E-07,7.66E-08,2.08E-07,2.66E-07,6.24E-07,1.47E-07,6.06E-08,6.31E-08,5.69E-08,8.28E-08,7.31E-09,7.05E-08,9.55E-08
1.22E-08,4.22E-08,2.35E-06,3.01E-07,4.54E-07,1.75E-07,1.78E-07,1.58E-07,1.65E-07,8.12E-08,1.03E-07,3.09E-07,1.03E-07,9.48E-08,6.26E-07,0,1.80E-07,6.70E-08,1.33E-08,2.55E-07,1.32E-06,4.82E-08,3.27E-07,6.82E-08,3.12E-07,4.64E-07,0.00018843,1.19E-07,5.53E-08,7.01E-08,5.21E-08,9.54E-08,7.22E-09,7.94E-08,1.13E-07
1.14E-08,3.42E-08,1.96E-07,4.50E-07,1.29E-07,5.91E-06,1.44E-05,8.43E-08,8.63E-08,5.60E-08,6.54E-08,1.14E-07,6.57E-08,6.22E-08,1.40E-07,1.80E-07,0,4.89E-08,1.24E-08,1.06E-07,1.59E-07,3.80E-08,4.03E-07,4.95E-08,4.28E-07,2.95E-07,1.81E-07,7.17E-08,4.23E-08,1.15E-07,4.05E-08,2.02E-07,6.95E-09,1.42E-07,3.00E-07
1.49E-08,1.14E-07,6.51E-08,5.48E-08,7.86E-08,4.85E-08,4.87E-08,1.16E-07,1.13E-07,3.82E-07,1.93E-07,8.56E-08,1.91E-07,2.28E-07,7.50E-08,6.70E-08,4.89E-08,0,1.66E-08,9.09E-08,7.06E-08,1.72E-07,5.56E-08,3.71E-06,5.52E-08,5.85E-08,6.70E-08,1.54E-07,3.15E-07,3.43E-08,2.35E-07,3.94E-08,8.10E-09,3.63E-08,4.20E-08
1.48E-07,1.94E-08,1.32E-08,1.27E-08,1.37E-08,1.23E-08,1.24E-08,1.45E-08,1.44E-08,1.59E-08,1.53E-08,1.39E-08,1.52E-08,1.54E-08,1.36E-08,1.33E-08,1.24E-08,1.66E-08,0,1.40E-08,1.34E-08,1.83E-08,1.28E-08,1.65E-08,1.27E-08,1.29E-08,1.33E-08,1.50E-08,1.75E-08,1.12E-08,1.78E-08,1.17E-08,1.58E-08,1.14E-08,1.19E-08
1.28E-08,5.05E-08,2.30E-07,1.38E-07,5.83E-07,1.04E-07,1.05E-07,4.17E-07,4.70E-07,1.19E-07,1.71E-07,1.47E-06,1.73E-07,1.51E-07,4.31E-07,2.55E-07,1.06E-07,9.09E-08,1.40E-08,0,3.16E-07,5.94E-08,1.43E-07,9.31E-08,1.40E-07,1.65E-07,2.55E-07,2.23E-07,7.05E-08,5.50E-08,6.55E-08,6.94E-08,7.43E-09,6.06E-08,7.82E-08
1.23E-08,4.35E-08,8.46E-07,2.45E-07,6.91E-07,1.55E-07,1.57E-07,1.80E-07,1.89E-07,8.66E-08,1.11E-07,4.03E-07,1.12E-07,1.02E-07,1.19E-06,1.32E-06,1.59E-07,7.06E-08,1.34E-08,3.16E-07,0,5.00E-08,2.62E-07,7.19E-08,2.53E-07,3.43E-07,1.31E-06,1.31E-07,5.77E-08,6.66E-08,5.43E-08,8.90E-08,7.26E-09,7.49E-08,1.04E-07
